id,loan_id,customer_id,due_date,amount,paid_amount,status,paid_at
1,1,2,2026-04-15,25665.26,25665.26,paid,2026-04-15
2,1,2,2026-05-15,25665.26,25665.26,paid,2026-05-15
3,1,2,2026-06-14,25665.26,25665.26,paid,2026-06-14
4,1,2,2026-07-14,25665.26,0.0,pending,
5,1,2,2026-08-13,25665.26,0.0,pending,
6,1,2,2026-09-12,25665.26,0.0,missed,
7,2,4,2026-04-15,3434.63,0.0,pending,
8,2,4,2026-05-15,3434.63,3434.63,paid,2026-05-15
9,2,4,2026-06-14,3434.63,0.0,pending,
10,2,4,2026-07-14,3434.63,3434.63,paid,2026-07-14
11,2,4,2026-08-13,3434.63,3434.63,paid,2026-08-13
12,2,4,2026-09-12,3434.63,3434.63,paid,2026-09-12
13,3,5,2026-04-15,10062.94,10062.94,paid,2026-04-15
14,3,5,2026-05-15,10062.94,10062.94,paid,2026-05-15
15,3,5,2026-06-14,10062.94,10062.94,paid,2026-06-14
16,3,5,2026-07-14,10062.94,10062.94,paid,2026-07-14
17,3,5,2026-08-13,10062.94,10062.94,paid,2026-08-13
18,3,5,2026-09-12,10062.94,0.0,missed,
19,4,6,2026-04-15,3840.3,3840.3,paid,2026-04-15
20,4,6,2026-05-15,3840.3,0.0,missed,
21,4,6,2026-06-14,3840.3,3840.3,paid,2026-06-14
22,4,6,2026-07-14,3840.3,3840.3,paid,2026-07-14
23,4,6,2026-08-13,3840.3,3840.3,paid,2026-08-13
24,4,6,2026-09-12,3840.3,3840.3,paid,2026-09-12
25,5,7,2026-04-15,57505.87,57505.87,paid,2026-04-15
26,5,7,2026-05-15,57505.87,57505.87,paid,2026-05-15
27,5,7,2026-06-14,57505.87,57505.87,paid,2026-06-14
28,5,7,2026-07-14,57505.87,57505.87,paid,2026-07-14
29,5,7,2026-08-13,57505.87,57505.87,paid,2026-08-13
30,5,7,2026-09-12,57505.87,57505.87,paid,2026-09-12
31,6,8,2026-04-15,19712.59,19712.59,paid,2026-04-15
32,6,8,2026-05-15,19712.59,19712.59,paid,2026-05-15
33,6,8,2026-06-14,19712.59,19712.59,paid,2026-06-14
34,6,8,2026-07-14,19712.59,19712.59,paid,2026-07-14
35,6,8,2026-08-13,19712.59,19712.59,paid,2026-08-13
36,6,8,2026-09-12,19712.59,19712.59,paid,2026-09-12
37,7,10,2026-04-15,6529.39,6529.39,paid,2026-04-15
38,7,10,2026-05-15,6529.39,6529.39,paid,2026-05-15
39,7,10,2026-06-14,6529.39,6529.39,paid,2026-06-14
40,7,10,2026-07-14,6529.39,0.0,pending,
41,7,10,2026-08-13,6529.39,6529.39,paid,2026-08-13
42,7,10,2026-09-12,6529.39,6529.39,paid,2026-09-12
43,8,13,2026-04-15,4014.57,4014.57,paid,2026-04-15
44,8,13,2026-05-15,4014.57,4014.57,paid,2026-05-15
45,8,13,2026-06-14,4014.57,4014.57,paid,2026-06-14
46,8,13,2026-07-14,4014.57,4014.57,paid,2026-07-14
47,8,13,2026-08-13,4014.57,4014.57,paid,2026-08-13
48,8,13,2026-09-12,4014.57,4014.57,paid,2026-09-12
49,9,16,2026-04-15,64382.96,0.0,pending,
50,9,16,2026-05-15,64382.96,64382.96,paid,2026-05-15
51,9,16,2026-06-14,64382.96,64382.96,paid,2026-06-14
52,9,16,2026-07-14,64382.96,64382.96,paid,2026-07-14
53,9,16,2026-08-13,64382.96,64382.96,paid,2026-08-13
54,9,16,2026-09-12,64382.96,64382.96,paid,2026-09-12
55,10,19,2026-04-15,12910.97,12910.97,paid,2026-04-15
56,10,19,2026-05-15,12910.97,12910.97,paid,2026-05-15
57,10,19,2026-06-14,12910.97,12910.97,paid,2026-06-14
58,10,19,2026-07-14,12910.97,12910.97,paid,2026-07-14
59,10,19,2026-08-13,12910.97,12910.97,paid,2026-08-13
60,10,19,2026-09-12,12910.97,12910.97,paid,2026-09-12
61,11,20,2026-04-15,2658.69,2658.69,paid,2026-04-15
62,11,20,2026-05-15,2658.69,2658.69,paid,2026-05-15
63,11,20,2026-06-14,2658.69,2658.69,paid,2026-06-14
64,11,20,2026-07-14,2658.69,2658.69,paid,2026-07-14
65,11,20,2026-08-13,2658.69,2658.69,paid,2026-08-13
66,11,20,2026-09-12,2658.69,2658.69,paid,2026-09-12
67,12,21,2026-04-15,21180.66,21180.66,paid,2026-04-15
68,12,21,2026-05-15,21180.66,0.0,missed,
69,12,21,2026-06-14,21180.66,0.0,missed,
70,12,21,2026-07-14,21180.66,21180.66,paid,2026-07-14
71,12,21,2026-08-13,21180.66,21180.66,paid,2026-08-13
72,12,21,2026-09-12,21180.66,21180.66,paid,2026-09-12
73,13,24,2026-04-15,10587.0,10587.0,paid,2026-04-15
74,13,24,2026-05-15,10587.0,10587.0,paid,2026-05-15
75,13,24,2026-06-14,10587.0,10587.0,paid,2026-06-14
76,13,24,2026-07-14,10587.0,10587.0,paid,2026-07-14
77,13,24,2026-08-13,10587.0,10587.0,paid,2026-08-13
78,13,24,2026-09-12,10587.0,10587.0,paid,2026-09-12
79,14,25,2026-04-15,7962.0,7962.0,paid,2026-04-15
80,14,25,2026-05-15,7962.0,7962.0,paid,2026-05-15
81,14,25,2026-06-14,7962.0,7962.0,paid,2026-06-14
82,14,25,2026-07-14,7962.0,7962.0,paid,2026-07-14
83,14,25,2026-08-13,7962.0,7962.0,paid,2026-08-13
84,14,25,2026-09-12,7962.0,7962.0,paid,2026-09-12
85,15,26,2026-04-15,11550.83,11550.83,paid,2026-04-15
86,15,26,2026-05-15,11550.83,0.0,missed,
87,15,26,2026-06-14,11550.83,11550.83,paid,2026-06-14
88,15,26,2026-07-14,11550.83,0.0,pending,
89,15,26,2026-08-13,11550.83,11550.83,paid,2026-08-13
90,15,26,2026-09-12,11550.83,11550.83,paid,2026-09-12
91,16,27,2026-04-15,7502.58,7502.58,paid,2026-04-15
92,16,27,2026-05-15,7502.58,7502.58,paid,2026-05-15
93,16,27,2026-06-14,7502.58,0.0,missed,
94,16,27,2026-07-14,7502.58,7502.58,paid,2026-07-14
95,16,27,2026-08-13,7502.58,7502.58,paid,2026-08-13
96,16,27,2026-09-12,7502.58,7502.58,paid,2026-09-12
97,17,29,2026-04-15,18204.45,18204.45,paid,2026-04-15
98,17,29,2026-05-15,18204.45,18204.45,paid,2026-05-15
99,17,29,2026-06-14,18204.45,18204.45,paid,2026-06-14
100,17,29,2026-07-14,18204.45,18204.45,paid,2026-07-14
101,17,29,2026-08-13,18204.45,0.0,missed,
102,17,29,2026-09-12,18204.45,18204.45,paid,2026-09-12
103,18,31,2026-04-15,4515.67,4515.67,paid,2026-04-15
104,18,31,2026-05-15,4515.67,4515.67,paid,2026-05-15
105,18,31,2026-06-14,4515.67,4515.67,paid,2026-06-14
106,18,31,2026-07-14,4515.67,4515.67,paid,2026-07-14
107,18,31,2026-08-13,4515.67,4515.67,paid,2026-08-13
108,18,31,2026-09-12,4515.67,4515.67,paid,2026-09-12
109,19,33,2026-04-15,11779.62,11779.62,paid,2026-04-15
110,19,33,2026-05-15,11779.62,0.0,missed,
111,19,33,2026-06-14,11779.62,11779.62,paid,2026-06-14
112,19,33,2026-07-14,11779.62,11779.62,paid,2026-07-14
113,19,33,2026-08-13,11779.62,0.0,pending,
114,19,33,2026-09-12,11779.62,11779.62,paid,2026-09-12
115,20,34,2026-04-15,18131.6,18131.6,paid,2026-04-15
116,20,34,2026-05-15,18131.6,0.0,missed,
117,20,34,2026-06-14,18131.6,18131.6,paid,2026-06-14
118,20,34,2026-07-14,18131.6,18131.6,paid,2026-07-14
119,20,34,2026-08-13,18131.6,18131.6,paid,2026-08-13
120,20,34,2026-09-12,18131.6,18131.6,paid,2026-09-12
121,21,38,2026-04-15,29158.69,0.0,missed,
122,21,38,2026-05-15,29158.69,29158.69,paid,2026-05-15
123,21,38,2026-06-14,29158.69,29158.69,paid,2026-06-14
124,21,38,2026-07-14,29158.69,29158.69,paid,2026-07-14
125,21,38,2026-08-13,29158.69,29158.69,paid,2026-08-13
126,21,38,2026-09-12,29158.69,0.0,missed,
127,22,42,2026-04-15,55401.28,55401.28,paid,2026-04-15
128,22,42,2026-05-15,55401.28,55401.28,paid,2026-05-15
129,22,42,2026-06-14,55401.28,55401.28,paid,2026-06-14
130,22,42,2026-07-14,55401.28,55401.28,paid,2026-07-14
131,22,42,2026-08-13,55401.28,55401.28,paid,2026-08-13
132,22,42,2026-09-12,55401.28,55401.28,paid,2026-09-12
133,23,43,2026-04-15,2275.25,2275.25,paid,2026-04-15
134,23,43,2026-05-15,2275.25,0.0,missed,
135,23,43,2026-06-14,2275.25,2275.25,paid,2026-06-14
136,23,43,2026-07-14,2275.25,0.0,pending,
137,23,43,2026-08-13,2275.25,2275.25,paid,2026-08-13
138,23,43,2026-09-12,2275.25,0.0,pending,
139,24,47,2026-04-15,6751.74,0.0,missed,
140,24,47,2026-05-15,6751.74,0.0,pending,
141,24,47,2026-06-14,6751.74,0.0,pending,
142,24,47,2026-07-14,6751.74,0.0,missed,
143,24,47,2026-08-13,6751.74,0.0,pending,
144,24,47,2026-09-12,6751.74,6751.74,paid,2026-09-12
145,25,48,2026-04-15,28013.45,28013.45,paid,2026-04-15
146,25,48,2026-05-15,28013.45,28013.45,paid,2026-05-15
147,25,48,2026-06-14,28013.45,28013.45,paid,2026-06-14
148,25,48,2026-07-14,28013.45,28013.45,paid,2026-07-14
149,25,48,2026-08-13,28013.45,28013.45,paid,2026-08-13
150,25,48,2026-09-12,28013.45,0.0,pending,
151,26,49,2026-04-15,24183.77,24183.77,paid,2026-04-15
152,26,49,2026-05-15,24183.77,24183.77,paid,2026-05-15
153,26,49,2026-06-14,24183.77,24183.77,paid,2026-06-14
154,26,49,2026-07-14,24183.77,24183.77,paid,2026-07-14
155,26,49,2026-08-13,24183.77,24183.77,paid,2026-08-13
156,26,49,2026-09-12,24183.77,24183.77,paid,2026-09-12
157,27,50,2026-04-15,24911.72,24911.72,paid,2026-04-15
158,27,50,2026-05-15,24911.72,24911.72,paid,2026-05-15
159,27,50,2026-06-14,24911.72,24911.72,paid,2026-06-14
160,27,50,2026-07-14,24911.72,24911.72,paid,2026-07-14
161,27,50,2026-08-13,24911.72,24911.72,paid,2026-08-13
162,27,50,2026-09-12,24911.72,0.0,pending,
