id,customer_id,transaction_id,fraud_score,risk_level,status,reason,anomaly_score,rule_score,identity_risk_score,recommended_action
1,16,,0.715,MEDIUM,open,High transaction frequency,0.63,0.834,0.408,VERIFY_TRANSACTION
2,34,,0.851,HIGH,open,New device detected,0.946,0.662,0.299,VERIFY_TRANSACTION
3,51,,0.75,MEDIUM,open,Unusual transaction amount,0.989,0.547,0.393,VERIFY_TRANSACTION
4,7,,0.73,MEDIUM,open,New device detected,0.873,0.916,0.479,VERIFY_TRANSACTION
5,69,,0.687,MEDIUM,open,New device detected,0.962,0.87,0.55,VERIFY_TRANSACTION
6,66,,0.708,MEDIUM,open,New device detected,0.63,0.917,0.647,VERIFY_TRANSACTION
7,63,,0.954,HIGH,open,New beneficiary,0.814,0.591,0.64,VERIFY_TRANSACTION
8,34,,0.827,HIGH,open,High transaction frequency,0.669,0.773,0.714,VERIFY_TRANSACTION
9,63,,0.917,HIGH,open,New beneficiary,0.775,0.879,0.807,VERIFY_TRANSACTION
10,30,,0.947,HIGH,open,New beneficiary,0.697,0.557,0.561,VERIFY_TRANSACTION
11,70,,0.882,HIGH,open,Unusual location,0.763,0.669,0.601,VERIFY_TRANSACTION
12,58,,0.976,HIGH,open,Unusual transaction amount,0.797,0.851,0.581,VERIFY_TRANSACTION
13,82,,0.796,MEDIUM,open,Unusual transaction amount,0.781,0.85,0.482,VERIFY_TRANSACTION
14,64,,0.73,MEDIUM,open,High transaction frequency,0.807,0.904,0.802,VERIFY_TRANSACTION
15,2,,0.774,MEDIUM,open,Unusual transaction amount,0.75,0.572,0.661,VERIFY_TRANSACTION
16,22,,0.711,MEDIUM,open,Unusual location,0.731,0.58,0.895,VERIFY_TRANSACTION
17,87,,0.947,HIGH,open,Unusual location,0.606,0.668,0.892,VERIFY_TRANSACTION
18,14,,0.883,HIGH,open,High transaction frequency,0.828,0.866,0.566,VERIFY_TRANSACTION
19,99,,0.969,HIGH,open,Unusual transaction amount,0.993,0.569,0.598,VERIFY_TRANSACTION
20,59,,0.907,HIGH,open,Unusual transaction amount,0.823,0.767,0.677,VERIFY_TRANSACTION
21,31,,0.796,MEDIUM,open,New beneficiary,0.817,0.892,0.808,VERIFY_TRANSACTION
22,21,,0.693,MEDIUM,open,Unusual transaction amount,0.94,0.899,0.866,VERIFY_TRANSACTION
23,89,,0.898,HIGH,open,New beneficiary,0.773,0.86,0.702,VERIFY_TRANSACTION
24,33,,0.823,HIGH,open,Unusual location,0.859,0.649,0.624,VERIFY_TRANSACTION
25,95,,0.857,HIGH,open,New beneficiary,0.852,0.824,0.398,VERIFY_TRANSACTION
26,58,,0.863,HIGH,open,New beneficiary,0.783,0.905,0.839,VERIFY_TRANSACTION
27,89,,0.873,HIGH,open,Unusual transaction amount,0.743,0.59,0.827,VERIFY_TRANSACTION
28,52,,0.802,HIGH,open,High transaction frequency,0.678,0.885,0.66,VERIFY_TRANSACTION
29,4,,0.968,HIGH,open,High transaction frequency,0.71,0.89,0.874,VERIFY_TRANSACTION
30,9,,0.895,HIGH,open,High transaction frequency,0.798,0.766,0.469,VERIFY_TRANSACTION
