id,customer_id,loan_type,principal_amount,interest_rate,tenure_months,monthly_emi,outstanding_amount,status
1,2,Home Loan,537241.46,13.49,24,25665.26,206483.71,active
2,4,Personal Loan,144820.3,14.86,60,3434.63,131481.92,active
3,5,Education Loan,464207.98,10.87,60,10062.94,190696.05,active
4,6,Home Loan,152134.96,9.75,48,3840.3,101752.49,active
5,7,Vehicle Loan,642521.1,13.39,12,57505.87,441200.47,active
6,8,Education Loan,590689.88,12.33,36,19712.59,383702.98,active
7,10,Personal Loan,74829.59,8.58,12,6529.39,63900.56,active
8,13,Home Loan,173692.95,13.7,60,4014.57,69944.6,active
9,16,Personal Loan,720720.73,13.03,12,64382.96,621155.15,active
10,19,Education Loan,554133.92,14.06,60,12910.97,426486.16,active
11,20,Vehicle Loan,113780.33,14.19,60,2658.69,89237.15,active
12,21,Education Loan,441666.62,13.88,24,21180.66,205031.02,active
13,24,Personal Loan,401655.79,12.05,48,10587.0,147433.13,active
14,25,Personal Loan,245963.97,10.22,36,7962.0,187875.68,active
15,26,Personal Loan,436918.03,12.21,48,11550.83,260192.88,active
16,27,Education Loan,161954.79,10.39,24,7502.58,160972.36,active
17,29,Personal Loan,666183.66,14.0,48,18204.45,549095.08,active
18,31,Education Loan,205937.39,11.37,60,4515.67,146806.7,active
19,33,Personal Loan,518298.61,12.95,60,11779.62,243651.23,active
20,34,Personal Loan,651495.29,15.0,48,18131.6,335083.46,active
21,38,Vehicle Loan,599963.75,15.24,24,29158.69,423490.7,active
22,42,Home Loan,622889.62,12.2,12,55401.28,379844.73,active
23,43,Home Loan,99147.92,13.38,60,2275.25,78390.01,active
24,47,Home Loan,273190.04,8.64,48,6751.74,229947.24,active
25,48,Education Loan,593921.41,12.2,24,28013.45,248057.44,active
26,49,Vehicle Loan,705083.14,14.25,36,24183.77,680083.96,active
27,50,Personal Loan,759606.29,11.12,36,24911.72,693579.6,active
28,51,Home Loan,641494.26,13.55,36,21784.81,366264.33,active
29,52,Vehicle Loan,769413.82,14.88,12,69402.43,603706.58,active
30,53,Personal Loan,358393.72,10.46,36,11641.91,244939.56,active
31,56,Education Loan,467067.74,12.01,24,21988.68,415582.94,active
32,57,Education Loan,779357.09,11.76,12,69157.46,614048.09,active
33,58,Home Loan,565120.59,8.9,36,17944.39,285516.51,active
34,59,Education Loan,623784.82,10.99,60,13559.48,322818.69,active
35,61,Vehicle Loan,596338.26,14.15,12,53585.59,243626.52,active
36,67,Home Loan,494988.28,12.92,24,23514.05,331730.1,active
37,68,Personal Loan,292265.13,10.08,48,7423.83,264683.72,active
38,74,Personal Loan,342005.5,11.73,60,7561.14,310522.52,active
39,75,Education Loan,188621.61,14.24,12,16957.1,137874.6,active
40,77,Vehicle Loan,145930.26,12.68,12,13012.19,74256.73,active
41,78,Personal Loan,527625.08,11.98,36,17519.66,466935.85,active
42,84,Personal Loan,507306.97,10.92,12,44817.7,202701.48,active
43,89,Personal Loan,269182.62,10.12,60,5735.24,177734.68,active
44,92,Home Loan,177950.52,13.56,24,8506.97,132443.13,active
45,93,Education Loan,388468.95,10.85,48,10011.91,155342.52,active
46,97,Personal Loan,439760.18,11.35,12,38938.56,391047.5,active
47,99,Personal Loan,419281.65,11.27,48,10891.61,410093.98,active
